DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP
1,JAN,1,01-01-2015 00:00,30.19,18.88,25.89,12.38,102.95,26.61
2,JAN,1,02-01-2015 00:00,38.1,15.08,15.63,9.89,102.95,49.85
3,JAN,1,03-01-2015 00:00,0.01,21.66,29.23,217.2,102.95,84.76
4,JAN,1,04-01-2015 00:00,0.06,15.3,28.98,341.69,102.95,82.17
5,JAN,1,05-01-2015 00:00,0.02,15.55,28.51,333.36,102.95,82.09
6,JAN,1,06-01-2015 00:00,0.02,21.03,169.63,265.09,102.95,80.83
7,JAN,1,07-01-2015 00:00,0.02,24.11,114.65,267.92,102.95,82.41
8,JAN,1,08-01-2015 00:00,0.02,35.74,105.13,519.1,102.95,79.92
9,JAN,1,09-01-2015 00:00,0.22,61,98.65,285.59,102.95,77.35
10,JAN,1,10-01-2015 00:00,0.01,36.44,31.49,339.24,102.95,61.68
11,JAN,1,11-01-2015 00:00,0.03,34.07,157.23,315.86,102.95,61.27
12,JAN,1,12-01-2015 00:00,0.03,33.22,66.36,325.95,102.95,60.02
13,JAN,1,13-01-2015 00:00,0.02,30.65,463.02,443.17,102.95,64.42
14,JAN,1,14-01-2015 00:00,0.23,51.52,1602.04,411.75,102.95,65.97
15,JAN,1,15-01-2015 00:00,0.02,24.29,124.8,230.99,102.95,72.28
16,JAN,1,16-01-2015 00:00,0.09,22.9,86.46,786.36,102.95,75.21
17,JAN,1,17-01-2015 00:00,0.59,27.42,26.26,1298.77,102.95,68.55
18,JAN,1,18-01-2015 00:00,0.02,24.3,79.67,1191.15,102.95,67.01
19,JAN,1,19-01-2015 00:00,1.72,28.37,131.93,1244.18,102.95,66.55
20,JAN,1,20-01-2015 00:00,0.57,25.97,60.36,1144.6,102.95,66.94
21,JAN,1,21-01-2015 00:00,0.02,10.79,526.77,1421.52,102.95,59.82
22,JAN,1,22-01-2015 00:00,0.02,23.75,132.57,1715.87,102.95,75.85
23,JAN,1,23-01-2015 00:00,9.31,33.82,124.24,1925.79,102.95,86.25
24,JAN,1,24-01-2015 00:00,0.02,35.31,123.09,1790.06,102.95,80.29
25,JAN,1,25-01-2015 00:00,0.02,14.55,123.09,1815.36,102.95,71.49
26,JAN,1,26-01-2015 00:00,2.57,51.96,123.09,1840.78,102.95,68.86
27,JAN,1,27-01-2015 00:00,0.6,36.78,23.39,1869.26,102.95,72.56
28,JAN,1,28-01-2015 00:00,5.09,68.24,37.33,2027.52,102.95,76.52
29,JAN,1,29-01-2015 00:00,0.02,32.52,309.32,1783.96,102.95,73
30,JAN,1,30-01-2015 00:00,0.03,53.61,43.33,1778.66,102.95,70.11
31,JAN,1,31-01-2015 00:00,0.02,62.65,118.77,1803.21,102.95,73.76
32,FEB,2,01-02-2015 00:00,0.02,58.21,56.26,1820.96,102.95,74.52
33,FEB,2,02-02-2015 00:00,0.04,81.2,21.57,1817.1,102.95,65.55
34,FEB,2,03-02-2015 00:00,0.03,31.05,22.13,1715.22,102.95,62.92
35,FEB,2,04-02-2015 00:00,0.03,62.52,21.54,1801.25,102.95,71.63
36,FEB,2,05-02-2015 00:00,0.03,94.85,70.32,1769.15,102.95,70.93
37,FEB,2,06-02-2015 00:00,0.03,73.3,25.1,1714.28,102.95,70.89
38,FEB,2,07-02-2015 00:00,0.04,37.75,21.43,1855.72,102.95,68.74
39,FEB,2,08-02-2015 00:00,0.04,74.97,20.78,1759.41,102.95,67.78
40,FEB,2,09-02-2015 00:00,0.05,34.07,20.92,1760.17,102.95,62.16
41,FEB,2,10-02-2015 00:00,0.03,48.22,21.03,1804.41,102.95,66.77
42,FEB,2,11-02-2015 00:00,0.03,52.7,26.69,1845.51,102.95,74.59
43,FEB,2,12-02-2015 00:00,0.03,86.87,25.03,1775.53,102.95,72.62
44,FEB,2,13-02-2015 00:00,0.25,44,24.36,1732.03,102.95,75.76
45,FEB,2,14-02-2015 00:00,0.29,34.6,20.82,1733.38,102.95,72.44
46,FEB,2,15-02-2015 00:00,0.03,25.45,21.37,1833.35,102.95,68.27
47,FEB,2,16-02-2015 00:00,0.02,34.23,21.02,1812.72,102.95,70.27
48,FEB,2,17-02-2015 00:00,0.02,31.02,21.19,1784.57,102.95,70.33
49,FEB,2,18-02-2015 00:00,0.02,47.87,20.87,1810.55,102.95,68.99
50,FEB,2,19-02-2015 00:00,0.17,24.68,21.47,1809.56,102.95,68.87
51,FEB,2,20-02-2015 00:00,0.02,25.12,21.02,1841.74,102.95,70.36
52,FEB,2,21-02-2015 00:00,0.03,22.42,21.01,1857.02,102.95,72.35
53,FEB,2,22-02-2015 00:00,0.02,33.73,21.11,1840.37,102.95,72.89
54,FEB,2,23-02-2015 00:00,0.02,22.44,32.09,1675.31,102.95,71.76
55,FEB,2,24-02-2015 00:00,0.03,31.01,30.65,1808.9,102.95,72.24
56,FEB,2,25-02-2015 00:00,0.03,31.94,21.1,1732.55,102.95,67.13
57,FEB,2,26-02-2015 00:00,7.14,33.58,20.97,2120.16,102.95,81.37
58,FEB,2,27-02-2015 00:00,0.03,47.4,21.16,1809.86,102.95,76.67
59,FEB,2,28-02-2015 00:00,0.02,179.34,21.49,1809.26,102.95,75.97
60,MAR,3,01-03-2015 00:00,0.02,185.73,20.93,1816.16,102.95,70.15
61,MAR,3,02-03-2015 00:00,15.46,188,20.92,1723.32,102.95,75.72
62,MAR,3,03-03-2015 00:00,0.02,303.27,20.85,1728.83,102.95,73.87
63,MAR,3,04-03-2015 00:00,0.02,316.24,21.1,1687.24,102.95,70.76
64,MAR,3,05-03-2015 00:00,0.02,261.14,20.96,1802.82,102.95,78.48
65,MAR,3,06-03-2015 00:00,0.02,155.04,21.1,1826.2,102.95,74.84
66,MAR,3,07-03-2015 00:00,0.02,146.1,21.73,1726.37,102.95,72.23
67,MAR,3,08-03-2015 00:00,0.02,402.01,24.26,1821.74,102.95,70.56
68,MAR,3,09-03-2015 00:00,0.5,426.13,22.58,1740.83,102.95,70.96
69,MAR,3,10-03-2015 00:00,0.33,161.06,38.62,705.6,102.95,41.06
70,MAR,3,11-03-2015 00:00,0.26,117.44,310.02,1102.18,102.95,38.33
71,MAR,3,12-03-2015 00:00,0.02,207,24.98,1767.32,102.95,70.95
72,MAR,3,13-03-2015 00:00,7.56,255.23,21.34,2013.3,102.95,83.17
73,MAR,3,14-03-2015 00:00,0.02,303.7,22.02,1860.97,102.95,68.46
74,MAR,3,15-03-2015 00:00,0.02,333.88,69.11,1839.16,102.95,72.28
75,MAR,3,16-03-2015 00:00,0.02,201.93,5786.46,1782.99,102.95,70.56
76,MAR,3,17-03-2015 00:00,0.03,374.93,80.1,1787.77,102.95,72.82
77,MAR,3,18-03-2015 00:00,0.02,396.14,151.66,1859.72,102.95,68.69
78,MAR,3,19-03-2015 00:00,0.02,422.09,23.68,2057.44,102.95,72.07
79,MAR,3,20-03-2015 00:00,0.02,325.74,28.83,1801.92,102.95,73.69
80,MAR,3,21-03-2015 00:00,0.03,249.75,88.01,1764.34,102.95,66.87
81,MAR,3,22-03-2015 00:00,3.91,351.74,5285.72,1729.72,102.95,61.86
82,MAR,3,23-03-2015 00:00,0.03,521.89,116.73,1782.89,102.95,71.18
83,MAR,3,24-03-2015 00:00,0.02,336.56,5047.75,1809.33,102.95,76.18
84,MAR,3,25-03-2015 00:00,0.02,400.62,1798.04,1948.82,102.95,73.95
85,MAR,3,26-03-2015 00:00,0.02,381.68,49,1735.04,102.95,69.45
86,MAR,3,27-03-2015 00:00,0.02,55.224,167.38,1781.62,102.95,70.6
87,MAR,3,28-03-2015 00:00,2.65,55.224,69.13,1974.48,102.95,72.23
88,MAR,3,29-03-2015 00:00,0.36,55.224,115.78,1818.97,102.95,69.8
89,MAR,3,30-03-2015 00:00,0.03,55.224,38.29,1808.09,102.95,69.64
90,APR,4,31-03-2015 00:00,0.02,55.224,141.08,1657.42,102.95,71.52
91,APR,4,01-04-2015 00:00,0.02,55.224,862.79,1975.2,102.95,74.39
92,APR,4,02-04-2015 00:00,0.02,55.224,152.54,1879.27,102.95,73.04
93,APR,4,03-04-2015 00:00,0.02,55.224,72.25,1933.22,102.95,75.01
94,APR,4,04-04-2015 00:00,0.02,55.224,95.08,1867.16,102.95,73.2
95,APR,4,05-04-2015 00:00,0.02,55.224,46.36,1809.08,102.95,76.83
96,APR,4,06-04-2015 00:00,1.08,10.67,17.27,760.02,19.19,51.61
97,APR,4,07-04-2015 00:00,1.19,11.29,18.53,588.4,21.54,46.39
98,APR,4,08-04-2015 00:00,0.46,15.76,20.2,1371.92,58.73,66.62
99,APR,4,09-04-2015 00:00,1.07,13.95,13.64,736.45,16.24,50.39
100,APR,4,10-04-2015 00:00,1.83,17.02,11.14,11.16,61.62,30.42
101,APR,4,11-04-2015 00:00,585.58,21.31,19.23,1143.29,49.85,52.91
102,APR,4,12-04-2015 00:00,0.29,55.224,22.01,1938.7,102.95,69.01
103,APR,4,13-04-2015 00:00,0.45,16.7,25.34,1741.39,30.21,64.78
104,APR,4,14-04-2015 00:00,0.02,55.224,21.57,1653.88,102.95,63.78
105,APR,4,15-04-2015 00:00,0.02,55.224,21.47,1748.72,102.95,79.79
106,APR,4,16-04-2015 00:00,0.07,11.84,26.61,1905.1,9.47,76.36
107,APR,4,17-04-2015 00:00,0.07,55.224,27.11,1867.61,102.95,74.8
108,APR,4,18-04-2015 00:00,0.02,55.224,26.87,1908.05,102.95,66.28
109,APR,4,19-04-2015 00:00,0.01,55.224,46.9,1849.11,102.95,73.33
110,APR,4,20-04-2015 00:00,0.01,55.224,222.48,1746.83,102.95,71.19
111,APR,4,21-04-2015 00:00,0.01,55.224,91.75,1727.01,102.95,72.28
112,APR,4,22-04-2015 00:00,0.14,55.224,962.26,1740.66,102.95,69.72
113,APR,4,23-04-2015 00:00,3.49,55.224,2259.25,1809.58,102.95,72.67
114,APR,4,24-04-2015 00:00,2.79,55.224,3475.47,1878.8,102.95,71.79
115,APR,4,25-04-2015 00:00,3.19,55.224,2049.76,1925.02,102.95,68.18
116,APR,4,26-04-2015 00:00,2.03,55.224,1380.35,1531.24,102.95,71.28
117,APR,4,27-04-2015 00:00,2.07,55.224,165.2,1585.72,102.95,71.12
118,APR,4,28-04-2015 00:00,0.02,55.224,190.89,1823.86,102.95,69.55
119,APR,4,29-04-2015 00:00,0.02,55.224,86.28,1863.41,102.95,73.19
120,APR,4,30-04-2015 00:00,0.02,55.224,149.71,2037.9,102.95,74.16
121,MAY,5,01-05-2015 00:00,0.02,55.224,12.9,1804.97,102.95,73.84
122,MAY,5,02-05-2015 00:00,0.02,55.224,128.36,1821.27,102.95,71.03
123,MAY,5,03-05-2015 00:00,0.77,11.75,160.62,1067.8,4.31,55.41
124,MAY,5,04-05-2015 00:00,1.86,13.7,2.85,8.07,2.69,31.15
125,MAY,5,05-05-2015 00:00,1.69,16.53,19.43,10.84,2.95,30.96
126,MAY,5,06-05-2015 00:00,1.83,21.26,5.15,92.01,2.6,32.51
127,MAY,5,07-05-2015 00:00,311.84,15.49,13.38,729.37,2.31,45.89
128,MAY,5,08-05-2015 00:00,1.81,34.19,17.16,1506.94,5.83,66.38
129,MAY,5,09-05-2015 00:00,1.67,26.05,16.09,959.18,4.28,55.05
130,MAY,5,10-05-2015 00:00,23.13,12.71,33.13,8.33,2.74,31.97
131,MAY,5,11-05-2015 00:00,891.1,15.04,40.86,45.8,10.59,31.56
132,MAY,5,12-05-2015 00:00,667.48,12.26,128.09,260.36,4892.26,31.65
133,MAY,5,13-05-2015 00:00,29.37,12.44,26.72,10.46,2092.67,29.61
134,MAY,5,14-05-2015 00:00,248.34,13.45,26.77,10.39,313.96,29.78
135,MAY,5,15-05-2015 00:00,589.27,14.45,26.7,10.18,59.4,30.32
136,MAY,5,16-05-2015 00:00,1.92,14.36,26.58,10.11,54.24,29.9
137,MAY,5,17-05-2015 00:00,1.84,15.99,26.72,10.28,55.14,30.52
138,MAY,5,18-05-2015 00:00,2.15,16.94,26.67,10.28,55.18,30.88
139,MAY,5,19-05-2015 00:00,1.66,15.26,26.53,10.27,55.1,32.39
140,MAY,5,20-05-2015 00:00,1.95,13.42,26.44,10.3,55.27,32.94
141,MAY,5,21-05-2015 00:00,1.87,15.1,26.38,10.49,56.29,33.27
142,MAY,5,22-05-2015 00:00,1.81,17.09,26.26,10.65,57.15,33.3
143,MAY,5,23-05-2015 00:00,1.82,17.58,25.89,10.53,56.48,33.43
144,MAY,5,24-05-2015 00:00,19.44,21.63,26.11,10.97,58.85,34.04
145,MAY,5,25-05-2015 00:00,1.72,18.01,25.42,10.95,58.75,34.21
146,MAY,5,26-05-2015 00:00,1.98,19.55,24.83,10.78,57.83,33.24
147,MAY,5,27-05-2015 00:00,1.91,27.12,25.22,10.89,58.43,31.38
148,MAY,5,28-05-2015 00:00,1.77,42.66,25.09,10.58,56.77,31.59
149,MAY,5,29-05-2015 00:00,21.61,24.36,22.56,11.48,61.59,32.02
150,MAY,5,30-05-2015 00:00,1.95,43.04,23.96,11.07,59.39,31.48
151,MAY,5,31-05-2015 00:00,1.7,29.63,25.01,11.04,59.23,31.69
152,JUN,6,01-06-2015 00:00,2.09,32.54,23.82,10.25,54.99,29.93
153,JUN,6,02-06-2015 00:00,1.94,31.48,22.04,9.97,53.49,30.96
154,JUN,6,03-06-2015 00:00,37.22,38.62,23.72,9.6,51.5,30.55
155,JUN,6,04-06-2015 00:00,1.91,19.96,23.74,10.22,54.84,31.23
156,JUN,6,05-06-2015 00:00,1.8,18.54,22.5,10.75,57.69,31.17
157,JUN,6,06-06-2015 00:00,1.87,30.59,23.56,9.72,52.17,30.97
158,JUN,6,07-06-2015 00:00,1.81,28.28,23.66,10.14,54.42,31.6
159,JUN,6,08-06-2015 00:00,1.72,22.55,24.15,11.84,63.52,31.57
160,JUN,6,09-06-2015 00:00,398.04,28.94,23.09,95.53,51.15,32.01
161,JUN,6,10-06-2015 00:00,1.87,33.77,22.77,8.57,45.99,31.2
162,JUN,6,11-06-2015 00:00,58.06,40.2,22.12,8.16,43.79,32.15
163,JUN,6,12-06-2015 00:00,1.77,22.65,21.49,7.89,42.35,30.88
164,JUN,6,13-06-2015 00:00,1.88,27.53,22.58,8.06,43.23,31.61
165,JUN,6,14-06-2015 00:00,1.87,28.09,23.62,8.67,46.51,31.42
166,JUN,6,15-06-2015 00:00,22.38,12.32,20.59,7.08,37.98,32.63
167,JUN,6,16-06-2015 00:00,1.89,17.8,18.3,60.9,25.13,31.88
168,JUN,6,17-06-2015 00:00,224.33,10.15,14.41,6.27,33.66,29.36
169,JUN,6,18-06-2015 00:00,910.63,11.55,11.65,1.75,9.15,28.88
170,JUN,6,19-06-2015 00:00,718.61,10.75,19.99,5.19,27.87,29.62
171,JUN,6,20-06-2015 00:00,599.47,12.56,22.39,6.63,35.56,30.93
172,JUN,6,21-06-2015 00:00,1.73,20.2,24.19,8.08,43.36,32.72
173,JUN,6,22-06-2015 00:00,1.77,18.31,22.98,7.03,37.71,33.11
174,JUN,6,23-06-2015 00:00,101.45,21.35,16.42,7.61,28.67,32.6
175,JUN,6,24-06-2015 00:00,606.82,16.14,21.2,2067.64,16.61,31.1
176,JUN,6,25-06-2015 00:00,2.05,21.23,25.23,565.91,56.61,33.03
177,JUN,6,26-06-2015 00:00,211.15,19.41,28.72,565.91,186.54,33.6
178,JUN,6,27-06-2015 00:00,386.18,20.32,27.78,11.32,59.27,32.13
179,JUN,6,28-06-2015 00:00,18.58,18.62,29.54,12.3,63.13,31.41
180,JUN,6,29-06-2015 00:00,15.54,23.38,29.92,12.56,63.94,31.64
181,JUN,6,30-06-2015 00:00,100.26,26.27,30.5,12.81,65.15,31.22
182,JUL,7,01-07-2015 00:00,1.03,24.54,31.8,17.22,68,31.39
183,JUL,7,02-07-2015 00:00,8.66,25.68,32.86,20.39,70.24,31.8
184,JUL,7,03-07-2015 00:00,129.38,16.76,32.93,20.38,70.43,33.18
185,JUL,7,04-07-2015 00:00,1.16,16.51,33.17,22.59,70.97,34.43
186,JUL,7,05-07-2015 00:00,21.07,20.46,32.94,21.44,70.48,32.97
187,JUL,7,06-07-2015 00:00,127.06,14.64,32.31,35.6,70.8,34.07
188,JUL,7,07-07-2015 00:00,62.03,20.11,32.89,12.51,70.79,35.67
189,JUL,7,08-07-2015 00:00,167.23,14.47,32.47,20.73,69.45,33.65
190,JUL,7,09-07-2015 00:00,161.33,55.224,123.09,565.91,102.95,44.13
191,JUL,7,10-07-2015 00:00,0.4,21.13,31.61,30.66,47.11,32.8
192,JUL,7,11-07-2015 00:00,258.96,26.52,32.72,1.73,49.2,31.69
193,JUL,7,12-07-2015 00:00,226.74,36.97,32.7,1.83,24.67,31.95
194,JUL,7,13-07-2015 00:00,129.07,28.23,32.39,1.73,36.55,32.09
195,JUL,7,14-07-2015 00:00,101.5,29.11,32.57,1.73,26.52,32.17
196,JUL,7,15-07-2015 00:00,145.52,21.91,32.67,1.78,45.77,31.65
197,JUL,7,16-07-2015 00:00,66.57,15.81,32.29,1.71,34.01,31.92
198,JUL,7,17-07-2015 00:00,77.37,20.06,31.85,1.64,30.6,31.04
199,JUL,7,18-07-2015 00:00,36.2,16,32.87,1.76,42.11,30.6
200,JUL,7,19-07-2015 00:00,14.6,13.12,32.88,1.86,42.33,30.76
201,JUL,7,20-07-2015 00:00,52.32,16.69,32.63,1.84,42.29,31.02
202,JUL,7,21-07-2015 00:00,97.44,18.22,32.46,565.91,102.95,31.1
203,JUL,7,22-07-2015 00:00,65.7,15.79,32.19,9.79,45.93,28.57
204,JUL,7,23-07-2015 00:00,171.57,15.43,32.57,10.55,51.12,29.21
205,JUL,7,24-07-2015 00:00,24.14,18.17,32.26,10.26,49.71,31.43
206,JUL,7,25-07-2015 00:00,33.67,18.31,32.6,10.75,52.09,31.04
207,JUL,7,26-07-2015 00:00,23.27,19.99,32.36,11.14,54,30.69
208,JUL,7,27-07-2015 00:00,28.89,16.15,32.62,10.34,50.08,29.57
209,JUL,7,28-07-2015 00:00,6.85,18.39,32.59,11.32,54.85,29.84
210,JUL,7,29-07-2015 00:00,288.21,16.62,32.64,11.3,54.76,30.49
211,JUL,7,30-07-2015 00:00,175.01,16.4,32.53,10.02,48.53,31.19
212,JUL,7,31-07-2015 00:00,318.28,20.18,31.98,10.46,50.66,30.81
213,AUG,8,01-08-2015 00:00,113.63,25.53,25.67,15.22,73.75,29.38
214,AUG,8,02-08-2015 00:00,93.12,29.05,19.88,21.87,97.61,28.97
215,AUG,8,03-08-2015 00:00,50.62,28.72,19.38,28.82,46.29,30.49
