DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP
216,AUG,8,04-08-2015 00:00,7.65,34.75,20.59,39.25,63.04,29.5
217,AUG,8,05-08-2015 00:00,60.12,28.28,22.49,36.18,76.13,28.89
218,AUG,8,06-08-2015 00:00,99.62,20.8,17.99,10.95,42.88,30.95
219,AUG,8,07-08-2015 00:00,0.62,24.63,19.81,14.48,56.68,29.2
220,AUG,8,08-08-2015 00:00,71.16,19.09,21.15,17.09,66.91,32.69
221,AUG,8,09-08-2015 00:00,8.2,24.84,19.63,13.97,54.72,31.39
222,AUG,8,10-08-2015 00:00,25.35,26.73,19.71,14.13,55.33,31.51
223,AUG,8,11-08-2015 00:00,19.81,29.25,20.49,16.32,63.91,30.81
224,AUG,8,12-08-2015 00:00,0.79,24.92,18.65,12.29,48.11,30.93
225,AUG,8,13-08-2015 00:00,17.84,23.48,17.95,11.49,45,31.38
226,AUG,8,14-08-2015 00:00,34.35,25.71,21.22,17.07,66.83,31.51
227,AUG,8,15-08-2015 00:00,0.71,34.83,22.22,18.91,74.05,32.23
228,AUG,8,16-08-2015 00:00,16.19,40.48,22.31,19.07,74.66,29.18
229,AUG,8,17-08-2015 00:00,169.36,36.07,19.37,16.68,65.3,30.41
230,AUG,8,18-08-2015 00:00,137.98,20.7,19.06,17.23,67.46,30.49
231,AUG,8,19-08-2015 00:00,133.62,17.71,19.28,17.53,69.77,30.79
232,AUG,8,20-08-2015 00:00,35.88,27.37,19.95,19.06,70.3,30.73
233,AUG,8,21-08-2015 00:00,34.35,27.6,17.9,17.98,31.2,27.68
234,AUG,8,22-08-2015 00:00,158.1,20.84,18.45,35.28,15.76,30.94
235,AUG,8,23-08-2015 00:00,48.68,16.51,19.24,21.66,18.07,29.79
236,AUG,8,24-08-2015 00:00,15.32,21.22,18.18,19.37,16.16,30.86
237,AUG,8,25-08-2015 00:00,0.67,22.59,16.93,16.76,13.99,31.33
238,AUG,8,26-08-2015 00:00,57.37,29.18,15.95,15.95,13.31,31.24
239,AUG,8,27-08-2015 00:00,142.03,20.13,14.69,15.4,12.85,29.58
240,AUG,8,28-08-2015 00:00,619.76,17.62,15.9,22.56,18.83,30.19
241,AUG,8,29-08-2015 00:00,186.41,20.29,17.23,25.23,21.06,31.24
242,AUG,8,30-08-2015 00:00,5.1,34.07,18.01,27.14,22.65,31.41
243,AUG,8,31-08-2015 00:00,14.34,29.61,16.29,23.63,19.72,30.33
244,SEP,11,01-09-2015 00:00,65.28,36.87,19.07,28.94,24.15,31.45
245,SEP,11,02-09-2015 00:00,79.75,44.79,20.43,31.72,26.47,30.9
246,SEP,11,03-09-2015 00:00,38.76,32.06,21.35,33.51,27.96,30.29
247,SEP,11,04-09-2015 00:00,109.82,31.07,21.99,23.03,28.97,30.87
248,SEP,11,05-09-2015 00:00,227.61,35.94,21.62,15.02,28.38,30.79
249,SEP,11,06-09-2015 00:00,131.75,17.86,22.99,14.84,30.57,31.22
250,SEP,11,07-09-2015 00:00,17.51,20.92,22.37,17.23,29.68,29.34
251,SEP,11,08-09-2015 00:00,43.87,17.06,21.68,17.88,28.68,30.35
252,SEP,11,09-09-2015 00:00,52.69,26.75,20.8,17.22,27,30.25
253,SEP,11,10-09-2015 00:00,33.18,24.54,21.1,15.68,27.92,28.5
254,SEP,11,11-09-2015 00:00,96.96,15.16,20.9,18.14,27.48,30.29
255,SEP,11,12-09-2015 00:00,12.2,13.1,20.53,17.05,26.28,30.68
256,SEP,11,13-09-2015 00:00,137.33,23.81,21.67,13.88,28.42,30.43
257,SEP,11,14-09-2015 00:00,88.24,21.44,20.02,17.82,25.9,30.81
258,SEP,11,15-09-2015 00:00,17.62,21.86,18.42,13.84,23.86,31.49
259,SEP,11,16-09-2015 00:00,10.06,17.56,14.63,14.33,23.26,32.2
260,SEP,11,17-09-2015 00:00,84.86,22.76,7.43,14.36,27.44,31.71
261,SEP,11,18-09-2015 00:00,71.19,21.96,6.95,15.27,27.25,31.18
262,SEP,11,19-09-2015 00:00,0.37,34.31,7.11,15.46,27.47,30.26
263,SEP,11,20-09-2015 00:00,17.7,33.14,7.03,13.99,27.25,30.67
264,SEP,11,21-09-2015 00:00,107.11,32,7.26,14.28,27.53,29.52
265,SEP,11,22-09-2015 00:00,9.68,31.14,8.78,14.15,31.22,30.36
266,SEP,11,23-09-2015 00:00,28.47,21.81,7.43,15.75,27.5,30.68
267,SEP,11,24-09-2015 00:00,442.7,19.36,7.74,14.4,28.25,30.52
268,SEP,11,25-09-2015 00:00,41.45,20.62,9.83,15.15,33.97,30.67
269,SEP,11,26-09-2015 00:00,60.33,55.96,7.87,13.52,65.67,29.84
270,SEP,11,27-09-2015 00:00,87.77,54.82,8.57,17.45,168.31,30.44
271,SEP,11,28-09-2015 00:00,25.46,51.39,8.1,16.77,86.57,29.86
272,SEP,11,29-09-2015 00:00,20.65,34.96,8.94,14.78,26.71,28.38
273,SEP,11,30-09-2015 00:00,62.7,33.85,8,14.37,29.1,29.23
274,OCT,10,01-10-2015 00:00,59.87,20.82,7.88,17.96,35.44,29.02
275,OCT,10,02-10-2015 00:00,91.82,27.59,8.08,14.29,38.3,29.98
276,OCT,10,03-10-2015 00:00,79.24,20.46,14.08,16.31,48.68,27.77
277,OCT,10,04-10-2015 00:00,29.94,42.17,21.89,14.81,55.36,29.69
278,OCT,10,05-10-2015 00:00,53.17,37.09,13.88,17.59,46.29,28.09
279,OCT,10,06-10-2015 00:00,54.13,32.02,7.41,15.3,35.22,29.52
280,OCT,10,07-10-2015 00:00,64.13,35.2,9.52,14.28,39.22,29.54
281,OCT,10,08-10-2015 00:00,147.36,35.96,12.56,10.61,44.71,29.02
282,OCT,10,09-10-2015 00:00,63.51,31.06,12.54,11.01,44.5,29.44
283,OCT,10,10-10-2015 00:00,72.18,21.65,12.12,11.27,43.66,30.14
284,OCT,10,11-10-2015 00:00,103.21,25.13,12,11.43,42.71,28.4
285,OCT,10,12-10-2015 00:00,60.93,29.18,12.19,11.63,43.22,30.14
286,OCT,10,13-10-2015 00:00,68.16,20.98,12.19,10.45,43.26,29.79
287,OCT,10,14-10-2015 00:00,145.83,26.82,28.46,11.62,43.65,29.88
288,OCT,10,15-10-2015 00:00,199.59,25.01,294.98,10.46,10.65,29.53
289,OCT,10,16-10-2015 00:00,4.02,21.23,10.69,17.01,47.89,29.13
290,OCT,10,17-10-2015 00:00,58.42,22.34,12,4.78,24.08,29.15
291,OCT,10,18-10-2015 00:00,114.1,18.44,9.72,4.87,19.75,29.57
292,OCT,10,19-10-2015 00:00,130.33,12.49,10.68,4.74,21.18,29.49
293,OCT,10,20-10-2015 00:00,94.02,10.09,12.92,4.93,25.23,29.8
294,OCT,10,21-10-2015 00:00,30.54,13.38,9.78,4.72,19.1,29.6
295,OCT,10,22-10-2015 00:00,201.04,16.32,11.33,4.36,22.4,28.94
296,OCT,10,23-10-2015 00:00,228.31,12.92,24.76,4.76,48.13,26.85
297,OCT,10,24-10-2015 00:00,230.54,38.59,12.63,4.77,27.13,27.53
298,OCT,10,25-10-2015 00:00,26.5,87.3,11.18,6.41,48.24,28.37
299,OCT,10,26-10-2015 00:00,105.2,88,10.6,5.41,38.62,28.69
300,OCT,10,27-10-2015 00:00,44.78,98.86,10.52,6.08,48.52,28.67
301,OCT,10,28-10-2015 00:00,1.22,86.43,10.85,8.63,44.76,27.58
302,OCT,10,29-10-2015 00:00,36.01,66.37,9.61,6.84,53.24,27.18
303,OCT,10,30-10-2015 00:00,28.11,58.56,8.26,13.07,53.49,27.57
304,OCT,10,31-10-2015 00:00,1.33,54.49,6.88,12.45,37.68,26.81
305,NOV,11,01-11-2015 00:00,1.09,73.76,8.76,13.3,38.96,26.93
306,NOV,11,02-11-2015 00:00,37.64,82.5,9.99,10.08,25.61,27.63
307,NOV,11,03-11-2015 00:00,1.45,54.11,11.85,14.01,34.67,27.74
308,NOV,11,04-11-2015 00:00,29.89,50.45,12.2,8.78,32.24,28.15
309,NOV,11,05-11-2015 00:00,224.27,26.38,13.63,8.11,26.04,28.26
310,NOV,11,06-11-2015 00:00,10.11,37.15,12.27,7.65,31.16,28.44
311,NOV,11,07-11-2015 00:00,113.34,47.87,10.12,7,23.68,27.59
312,NOV,11,08-11-2015 00:00,90.58,48.87,9.6,6.83,24.94,26.17
313,NOV,11,09-11-2015 00:00,91.33,61.11,11,4.22,20.51,26.23
314,NOV,11,10-11-2015 00:00,0.71,81.38,10.99,7.15,82.65,25.99
315,NOV,11,11-11-2015 00:00,1.24,66.56,11.72,4,40.74,26.97
316,NOV,11,12-11-2015 00:00,44.05,63.83,11.46,4.76,24.59,27.18
317,NOV,11,13-11-2015 00:00,1.4,89.52,11,1.68,56.5,25.52
318,NOV,11,14-11-2015 00:00,22.15,97.37,11.81,1.4,52.55,26.6
319,NOV,11,15-11-2015 00:00,22.76,67.89,11.91,1.94,40.01,25.29
320,NOV,11,16-11-2015 00:00,37,39.24,11.91,2.01,25.63,25.86
321,NOV,11,17-11-2015 00:00,44.41,38.52,11.75,2.02,23.4,25.32
322,NOV,11,18-11-2015 00:00,38.88,52.48,11.02,2.75,30.85,25.38
